restaurant_class,restaurant_name,restaurant_url,restaurant_reviews
67,Bouillon Maurice,/Restaurant_Review-g187265-d18964658-Reviews-Bouillon_Maurice-Lyon_Rhone_Auvergne_Rhone_Alpes.html,3.5 of 5 bubbles. 136 reviews
68,L'Antiquaire,/Restaurant_Review-g187265-d4756384-Reviews-L_Antiquaire-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 197 reviews
69,La Table de Max,/Restaurant_Review-g187265-d15639122-Reviews-La_Table_de_Max-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0 of 5 bubbles. 316 reviews
70,Restaurant Un Deux Trois,/Restaurant_Review-g187265-d1326973-Reviews-Restaurant_Un_Deux_Trois-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.5 of 5 bubbles. 1,080 reviews"
71,Burgundy By Matthieu,/Restaurant_Review-g187265-d6453660-Reviews-Burgundy_By_Matthieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 982 reviews
72,La Mère Cottivet,/Restaurant_Review-g187265-d1147134-Reviews-La_Mere_Cottivet-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.0 of 5 bubbles. 881 reviews
73,Chez Hugon,/Restaurant_Review-g187265-d2657883-Reviews-Chez_Hugon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.0 of 5 bubbles. 367 reviews
74,Cafe des Federations,/Restaurant_Review-g187265-d801154-Reviews-Cafe_des_Federations-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.0 of 5 bubbles. 1,430 reviews"
75,La Maison Villemanzy,/Restaurant_Review-g187265-d800330-Reviews-La_Maison_Villemanzy-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 427 reviews
76,La Scala Siciliana,/Restaurant_Review-g187265-d2545076-Reviews-La_Scala_Siciliana-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 795 reviews
